CityKey,CustomerCity,CustomerCountry,CountryKey,Latitude,Longitude
1,Hamburg,Germany,1,53.55073,9.99302
2,Halle,Germany,1,51.99122,9.56532
3,Halle,Germany,1,52.06007,8.36083
4,Essen,Germany,1,51.45657,7.01228
5,Essen,Germany,1,52.72258,7.9371
6,Wuppertal,Germany,1,51.25627,7.14816
7,Dresden,Germany,1,51.05089,13.73832
8,Ninove,Belgium,2,50.82776,4.02657
9,Köln,Germany,1,50.93333,6.95
10,Cottbus,Germany,1,51.75769,14.32888
11,Hannover,Germany,1,52.37052,9.73322
12,Namur,Belgium,2,50.4669,4.86746
13,Lübeck,Germany,1,53.86893,10.68729
14,Kassel,Germany,1,51.31667,9.5
15,Stuttgart,Germany,1,48.78232,9.17702
16,Bouillon,Belgium,2,49.79324,5.06703
17,Frankfurt am Main,Germany,1,50.11552,8.68417
18,Münster,Germany,1,51.96236,7.62571
19,Münster,Germany,1,48.22904,10.63623
20,Münster,Germany,1,49.92278,8.86778
21,Neuss,Germany,1,51.19807,6.68504
22,Charleroi,Belgium,2,50.41136,4.44448
23,Kiel,Germany,1,54.32133,10.13489
24,Dillenburg,Germany,1,50.74114,8.28699
25,Péruwelz,Belgium,2,50.50819,3.59373
26,Düsseldorf,Germany,1,51.22172,6.77616
27,Heilbronn,Germany,1,49.13995,9.22054
28,Berlin,Germany,1,52.52437,13.41053
29,Augsburg,Germany,1,48.37154,10.89851
30,Chemnitz,Germany,1,50.8357,12.92922
31,Wetzlar,Germany,1,50.56109,8.50495
32,Ludwigshafen am Rhein,Germany,1,49.48121,8.44641
33,Antwerpen,Belgium,2,51.22047,4.40026
34,Witzenhausen,Germany,1,51.34103,9.8554
35,Bremen,Germany,1,53.07582,8.80717
36,Magdeburg,Germany,1,52.12773,11.62916
37,Mons,Belgium,2,50.45413,3.95229
38,Dortmund,Germany,1,51.51494,7.466
39,Wiesbaden,Germany,1,50.08258,8.24932
40,Bielefeld,Germany,1,52.03333,8.53333
41,Solingen,Germany,1,51.17343,7.0845
42,Gent,Belgium,2,51.05,3.71667
43,Würzburg,Germany,1,49.79391,9.95121
44,Leipzig,Germany,1,51.33962,12.37129
45,Remscheid,Germany,1,51.17983,7.1925
46,Nürnberg,Germany,1,49.45421,11.07752
47,Momignies,Belgium,2,50.0271,4.16519
48,Braunschweig,Germany,1,52.26594,10.52673
49,Gelsenkirchen,Germany,1,51.50508,7.09654
50,Tournai,Belgium,2,50.60715,3.38932
51,Offenbach,Germany,1,50.10061,8.76647
52,Bremerhaven,Germany,1,53.53615,8.59298
53,Duisburg,Germany,1,51.43247,6.76516
54,Bochum,Germany,1,51.48165,7.21648
55,Osnabrück,Germany,1,52.27264,8.0498
56,Mannheim,Germany,1,49.4891,8.46694
57,Mainz,Germany,1,49.98419,8.2791
58,Mönchengladbach,Germany,1,51.18539,6.44172
59,Ath,Belgium,2,50.62937,3.77801
60,Aachen,Germany,1,50.77664,6.08342
61,Saarbrücken,Germany,1,49.23262,7.00982
62,Rostock,Germany,1,54.0887,12.14049
63,Bonn,Germany,1,50.73438,7.09549
64,Hamm,Germany,1,53.55487,10.05742
65,Hamm,Germany,1,51.68033,7.82089
66,Erfurt,Germany,1,50.9787,11.03283
67,Toila,Estonia,3,59.42127,27.50807
68,Bressuire,France,4,46.84158,-0.49042
69,Luleå,Sweden,5,65.58415,22.15465
70,Żurowa,Poland,6,49.82636,21.16894
71,Dobra,Poland,6,53.48835,14.38617
72,Dobra,Poland,6,51.91664,18.61556
73,Dobra,Poland,6,53.58625,15.30977
74,Dobra,Poland,6,49.71793,20.25347
75,Marseille,France,4,43.29695,5.38107
76,Larvik,Norway,7,59.05328,10.03517
77,Örebro,Sweden,5,59.27412,15.2066
78,Jablonec nad Nisou,Czech Republic,8,50.72431,15.17108
79,Liběšice,Czech Republic,8,50.56886,14.28906
80,Mesopotamía,Greece,9,40.50252,21.1611
81,Hoorn,Netherlands,10,52.6425,5.05972
82,Dębowa Łąka,Poland,6,53.25541,19.09595
83,Simrishamn,Sweden,5,55.55653,14.35037
84,Agrínio,Greece,9,38.62139,21.40778
85,Täby,Sweden,5,59.4439,18.06872
86,Stari Grad,Croatia,11,43.18387,16.59784
87,Stari Grad,Croatia,11,44.43,15.06222
88,Telsiai,Lithuania,12,55.98139,22.24722
89,Morávka,Czech Republic,8,49.59607,18.52471
90,Norberg,Sweden,5,60.06505,15.92366
91,Skurup,Sweden,5,55.47839,13.50186
92,Falkenberg,Sweden,5,56.90552,12.49118
93,Grabica,Poland,6,51.47989,19.53137
94,Grenoble,France,4,45.17869,5.71479
95,Gävle,Sweden,5,60.67452,17.14174
96,Põlva,Estonia,3,58.06028,27.06944
97,Saint-Laurent-Blangy,France,4,50.29446,2.80698
98,Leppävirta,Finland,13,62.49009,27.78262
99,Komiža,Croatia,11,43.04306,16.09306
100,Fálanna,Greece,9,39.71986,22.39733
101,Horvati,Croatia,11,45.7175,15.81972
102,Horvati,Croatia,11,45.7,15.81667
103,Hankasalmi,Finland,13,62.38333,26.43333
104,Žrnovnica,Croatia,11,43.52111,16.55917
105,Ulricehamn,Sweden,5,57.79159,13.41422
106,Bagneux,France,4,48.79565,2.30796
107,Teplice,Czech Republic,8,50.6404,13.82451
108,Lille,France,4,50.63297,3.05858
109,Bar-le-Duc,France,4,48.77275,5.16108
110,Torsås,Sweden,5,56.41251,15.99844
111,Mora,Sweden,5,61.00704,14.54316
112,Boulogne-Billancourt,France,4,48.83545,2.24128
113,Lyon,France,4,45.74846,4.84671
114,Garbów,Poland,6,51.35517,22.32937
115,Thionville,France,4,49.35994,6.16044
116,Kramarzówka,Poland,6,49.86034,22.50137
117,Osby,Sweden,5,56.38165,13.99364
118,Amiens,France,4,49.9,2.3
119,Tučepi,Croatia,11,43.27222,17.05444
120,Chambéry,France,4,45.56628,5.92079
121,Vagney,France,4,48.00629,6.7174
122,Levallois-Perret,France,4,48.89389,2.28864
123,Ożarowice,Poland,6,50.46182,19.04317
124,Halinów,Poland,6,52.2288,21.3551
